"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 23 12:26:26 IST 2024","Wed Oct 23 12:26:48 IST 2024","22025","chromium","Part_05_Locators_built-in.spec.js","","","","built-in Locators",""
"passed","Wed Oct 23 12:26:36 IST 2024","Wed Oct 23 12:26:41 IST 2024","4880","chromium","Part_09_Inputbox.spec.js","","","","Input Box",""
"passed","Wed Oct 23 12:27:23 IST 2024","Wed Oct 23 12:27:38 IST 2024","15090","chromium","Part_26_UploadFiles.spec.js","","","","Single Upload File",""
"passed","Wed Oct 23 12:27:39 IST 2024","Wed Oct 23 12:27:47 IST 2024","7084","chromium","Part_27_Hooks2.spec.js","","","","Homepage Test",""
"skipped","Wed Oct 23 12:28:08 IST 2024","Wed Oct 23 12:28:08 IST 2024","451","chromium","Part_33_Annotations.spec.js","","","","Annotations Test3",""
"passed","Wed Oct 23 12:26:26 IST 2024","Wed Oct 23 12:26:33 IST 2024","6917","chromium","Part_04_PrintLinksTest.spec.js","","","","Mutipule Elements",""
"passed","Wed Oct 23 12:28:08 IST 2024","Wed Oct 23 12:28:09 IST 2024","590","chromium","Part_33_Annotations.spec.js","","","","Annotations Test5",""
"passed","Wed Oct 23 12:26:39 IST 2024","Wed Oct 23 12:26:44 IST 2024","4913","chromium","Part_11_DropDowns.spec.js","","","","DropDowns",""
"passed","Wed Oct 23 12:27:26 IST 2024","Wed Oct 23 12:27:39 IST 2024","13771","chromium","Part_27_Hooks.spec.js","","","","Homepage Test",""
"passed","Wed Oct 23 12:27:51 IST 2024","Wed Oct 23 12:27:52 IST 2024","564","chromium","Part_28_Grouping_Hooks.spec.js","Group1","","","Test 2",""
"passed","Wed Oct 23 12:27:54 IST 2024","Wed Oct 23 12:27:57 IST 2024","2639","chromium","Part_29_Screenshots.spec.js","","","","page screenshot",""
"passed","Wed Oct 23 12:27:44 IST 2024","Wed Oct 23 12:27:53 IST 2024","9114","chromium","Part_27_Hooks2.spec.js","","","","AddToCart Test",""
"skipped","Wed Oct 23 12:28:08 IST 2024","Wed Oct 23 12:28:09 IST 2024","652","chromium","Part_33_Annotations.spec.js","","","","Annotations Test4",""
"passed","Wed Oct 23 12:27:57 IST 2024","Wed Oct 23 12:28:07 IST 2024","9666","chromium","Part_31_Tracing.spec.js","","","","Tracing test",""
"passed","Wed Oct 23 12:26:34 IST 2024","Wed Oct 23 12:26:36 IST 2024","2420","chromium","Part_08_SoftAssertions.spec.js","","","","Soft Assertions",""
"passed","Wed Oct 23 12:28:29 IST 2024","Wed Oct 23 12:28:33 IST 2024","3895","chromium","Part_36_Reporters.spec.js","","","","Test2",""
"broken","Wed Oct 23 12:29:19 IST 2024","Wed Oct 23 12:29:49 IST 2024","30813","chromium","Part_34_POMTest.spec.js","","","","test",""
"passed","Wed Oct 23 12:27:19 IST 2024","Wed Oct 23 12:27:28 IST 2024","8899","chromium","Part_25_KeyboardActions.spec.js","","","","Keyboard Actions",""
"passed","Wed Oct 23 12:27:28 IST 2024","Wed Oct 23 12:27:44 IST 2024","15776","chromium","Part_27_Hooks.spec.js","","","","AddToCart Test",""
"passed","Wed Oct 23 12:28:07 IST 2024","Wed Oct 23 12:28:08 IST 2024","549","chromium","Part_33_Annotations.spec.js","","","","Annotations Test1",""
